Input,Output
Where,is
Where is,the
Where is the,Pharmacy?
Could,you
Could you,Prescribe
Could you Prescribe,the
Could you Prescribe the,Weakness
Could you Prescribe the Weakness,for
Could you Prescribe the Weakness for,me?
You,might
You might,be
You might be,experiencing
You might be experiencing,Unbearable
You might be experiencing Unbearable,Swelling.
You,might
You might,be
You might be,experiencing
You might be experiencing,Life-threatening
You might be experiencing Life-threatening,Light
You might be experiencing Life-threatening Light,sensitivity.
Should,I
Should I,visit
Should I visit,the
Should I visit the,Helipad?
They,should
They should,Stabilize
They should Stabilize,the
They should Stabilize the,Chills.
Our,Billing
Our Billing,counter
Our Billing counter,needs
Our Billing counter needs,better
Our Billing counter needs better,equipment.
Could,you
Could you,See
Could you See,the
Could you See the,Chest
Could you See the Chest,tightness
Could you See the Chest tightness,for
Could you See the Chest tightness for,me?
Could,you
Could you,Refer
Could you Refer,the
Could you Refer the,Ear
Could you Refer the Ear,pain
Could you Refer the Ear pain,for
Could you Refer the Ear pain for,me?
They,should
They should,Treat
They should Treat,the
They should Treat the,Light
They should Treat the Light,sensitivity.
They,should
They should,Prescribe
They should Prescribe,the
They should Prescribe the,Unexplained
They should Prescribe the Unexplained,weight
They should Prescribe the Unexplained weight,gain.
Our,Psychiatry
Our Psychiatry,ward
Our Psychiatry ward,needs
Our Psychiatry ward needs,better
Our Psychiatry ward needs better,equipment.
Can,you
Can you,Examine
Can you Examine,me
Can you Examine me,with
Can you Examine me with,my
Can you Examine me with my,Hearing
Can you Examine me with my Hearing,loss?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Localized
Will I recover from Localized,Weakness?
I,have
I have,a
I have a,Nagging
I have a Nagging,Shortness
I have a Nagging Shortness,of
I have a Nagging Shortness of,breath.
My,Depression
My Depression,is
My Depression is,getting
My Depression is getting,worse.
I,have
I have,a
I have a,Unbearable
I have a Unbearable,Chest
I have a Unbearable Chest,tightness.
Can,you
Can you,Prepare
Can you Prepare,me
Can you Prepare me,with
Can you Prepare me with,my
Can you Prepare me with my,Abdominal
Can you Prepare me with my Abdominal,pain?
Our,Pathology
Our Pathology,lab
Our Pathology lab,needs
Our Pathology lab needs,better
Our Pathology lab needs better,equipment.
They,should
They should,Stabilize
They should Stabilize,the
They should Stabilize the,Runny
They should Stabilize the Runny,nose.
My,Dark-colored
My Dark-colored,urine
My Dark-colored urine,is
My Dark-colored urine is,getting
My Dark-colored urine is getting,worse.
I,have
I have,a
I have a,Mild
I have a Mild,Seizures.
Our,Medical
Our Medical,waste
Our Medical waste,disposal
Our Medical waste disposal,area
Our Medical waste disposal area,needs
Our Medical waste disposal area needs,better
Our Medical waste disposal area needs better,equipment.
My,Chest
My Chest,tightness
